,Name,StudyHours,Attendance,PreviousScore,Participation,FinalScore
84,Aditya Singh,5.73,71.92,68.08,5.74,59.86
85,Aarav Patel,5.2,100.0,82.68,6.9,88.13
86,Aarav Chopra,5.23,93.91,77.78,4.82,62.69
87,Diya Patel,3.2,82.86,63.67,4.48,37.33
88,Vivaan Verma,4.15,74.7,77.92,7.14,66.49
89,Riya Das,3.36,79.9,57.43,4.32,30.76
90,Riya Kumar,2.44,87.52,75.07,5.09,57.39
91,Diya Chopra,4.44,78.49,75.5,3.95,49.99
92,Myra Gupta,3.6,79.54,72.84,8.01,62.98
93,Ananya Verma,2.36,99.42,59.31,5.87,56.16
94,Krishna Reddy,5.79,87.57,71.86,4.17,60.34
95,Diya Chopra,2.33,86.89,65.85,4.39,45.48
96,Myra Singh,7.54,77.82,61.91,8.39,85.47
97,Krishna Kumar,3.22,88.06,76.37,5.93,64.37
98,Saanvi Singh,-0.1,69.14,92.29,6.72,56.72
99,Aarav Sharma,4.69,79.56,49.4,7.75,52.3
